NAME OF HOSPITAL	LOCATION
Fort Vajiravudh Hospital	Nakhon Si Thammarat
Health Promotion Hospital, 11th Regional Health Promotion Center	Nakhon Si Thammarat
Hua Sai Hospital	Nakhon Si Thammarat
Khanom Hospital	Nakhon Si Thammarat
Lan Saka Hospital	Nakhon Si Thammarat
Maharat Nakhon Si Thammarat Hospital	Nakhon Si Thammarat
Na Bon Hospital	Nakhon Si Thammarat
Nakhon Si Thammarat City Hospital	Nakhon Si Thammarat
Pak Phanang Hospital	Nakhon Si Thammarat
Phanom Khiri Hospital	Nakhon Si Thammarat
Phipun Hospital	Nakhon Si Thammarat
Ron Phibun Hospital	Nakhon Si Thammarat
Sichon Hospital	Nakhon Si Thammarat
Sirindhorn Red Cross Health Station	Nakhon Si Thammarat
Tha Sala Hospital	Nakhon Si Thammarat
Tham Phannara Hospital	Nakhon Si Thammarat
Thung Song Hospital	Nakhon Si Thammarat
Thung Yai Hospital	Nakhon Si Thammarat
Ban Luang Hospital	Nan
Bo Kluea Hospital	Nan
Chaloem Phrakiat Hospital	Nan
Chiang Klang Hospital	Nan
Fort Suriyaphong Hospital	Nan
Mae Charim Hospital	Nan
Na Muen Hospital	Nan
Na Noi Hospital	Nan
Nan Hospital	Nan
Pua Crown Prince Hospital	Nan
Santisuk Hospital	Nan
Song Khwae Hospital	Nan
Tha Wang Pha Hospital	Nan
Thung Chang Hospital	Nan
Wiang Sa Hospital	Nan
Ba Cho Hospital	Narathiwat
Chanae Hospital	Narathiwat
Cho Ai Rong Hospital	Narathiwat
Naradhiwas Rajanagarindra Hospital	Narathiwat
Ra-ngae Hospital	Narathiwat
Rue So Hospital	Narathiwat
Si Sakhon Hospital	Narathiwat
Sukhirin Hospital	Narathiwat
Su-ngai Kolok Hospital	Narathiwat
Su-ngai Padi Hospital	Narathiwat
Tak Bai Hospital	Narathiwat
Waeng Hospital	Narathiwat
Yi Ngo Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday	Narathiwat
Na Klang Hospital	Nong Bua Lamphu
Na Wang Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday	Nong Bua Lamphu
Non Sang Hospital	Nong Bua Lamphu
Nong Bua Lamphu Hospital	Nong Bua Lamphu
Si Bun rueang Hospital	Nong Bua Lamphu
Suwannakhuha Hospital	Nong Bua Lamphu
Nong Khai Hospital	Nong Khai
Phon Phisai Hospital	Nong Khai
Sa Khrai Hospital	Nong Khai
Sangkhom Hospital	Nong Khai
Tha Bo Crown Prince Hospital	Nong Khai
Bamrasnaradura Infectious Diseases Institute	Nonthaburi
Bang Bua Thong Hospital	Nonthaburi
Bang Kruai Hospital	Nonthaburi
Bang Yai Hospital	Nonthaburi
Central Chest Institute of Thailand	Nonthaburi
Pak Kret Hospital	Nonthaburi
Panyananthaphikkhu Chonprathan Medical Center	Nonthaburi
Phra Nang Klao Hospital	Nonthaburi
Sai Noi Hospital	Nonthaburi
Sirindhorn National Medical Rehabilitation Centre	Nonthaburi
Srithanya Hospital	Nonthaburi
Khlong Luang Hospital	Pathum Thani
Lam Luk Ka Hospital	Pathum Thani
Lat Lum Kaeo Hospital	Pathum Thani
Maha Vajiralongkorn Cancer Centre	Pathum Thani
Nong Suea Hospital	Pathum Thani
Pathum Thani Hospital	Pathum Thani
Prachathipat Hospital	Pathum Thani
Sam Khok Hospital	Pathum Thani
Thammasat University Hospital	Pathum Thani
Thanyaburi Hospital	Pathum Thani
Thanyarak Institute	Pathum Thani
Fort Inkhayutthaborihan Hospital	Pattani
Kapho Hospital	Pattani
Khok Pho Hospital	Pattani
Mae Lan Hospital	Pattani
Mai Kaen Hospital	Pattani
Mayo Hospital	Pattani
Nong Chik Hospital	Pattani
Panare Hospital	Pattani
Pattani Drug Dependence Treatment Center	Pattani
Pattani Hospital	Pattani
Sai Buri Crown Prince Hospital	Pattani
Thung Yang Daeng Hospital	Pattani
Yarang Hospital	Pattani
Yaring Hospital	Pattani
Bang Sai Hospital	Phang Nga
Kapong Chaiphat Hospital	Phang Nga
Khura Buri Chaiphat Hospital	Phang Nga
Ko Yao Chaiphat Hospital	Phang Nga
Phang Nga Hospital	Phang Nga
Phang Nga Naval Base Hospital	Phang Nga
Takua Pa Hospital	Phang Nga
Takua Thung Hospital	Phang Nga
Thai Mueang Hospital	Phang Nga
Thap Put Hospital	Phang Nga
Bang Kaew Hospital	Phatthalung
Khao Chai Son Hospital	Phatthalung
Khuan Khanun Hospital	Phatthalung
Kong Ra Hospital	Phatthalung
Pa Bon Hospital	Phatthalung
Pa Phayom Hospital	Phatthalung
Pak Phayun Hospital	Phatthalung
Phatthalung Hospital	Phatthalung
Si Banphot Hospital	Phatthalung
Tamot Hospital	Phatthalung
Chiang Kham Hospital	Phayao
Chiang Muan Hospital	Phayao
Chun Hospital	Phayao
Dok Kham Tai Hospital	Phayao
Fort Khunchueangthammikkarat Hospital	Phayao
Mae Chai Hospital	Phayao
Phayao Hospital	Phayao
Pong Hospital	Phayao
Bueng Sam Phan Hospital	Phetchabun
Chon Daen Hospital	Phetchabun
Fort Phokhunphamueang Hospital	Phetchabun
Khao Kho Hospital	Phetchabun
Lom Kao Crown Prince Hospital	Phetchabun
Lom Sak Hospital	Phetchabun
Nam Nao Hospital	Phetchabun
Nong Phai Hospital	Phetchabun
